Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Bronx,Female,Black,76,39.3,16,21.1,59,30.5
Bronx,Female,Latino/Hispanic,59,16.9,9,15.3,56,16
Bronx,Female,White,2,3.2,0,0,3,4.8
Bronx,Male,"Asian/Pacific
Islander",8,35.3,1,12.5,2,8.8
Bronx,Male,Black,158,100.4,40,25.3,103,65.4
Bronx,Male,Latino/Hispanic,172,57.9,27,15.7,104,35
Bronx,Male,Other/Unknown,3,50.5,1,33.3,2,33.7
Bronx,Male,White,11,18.9,0,0,6,10.3
Bronx,Female,Black,10,38.7,0,0,10,38.7
Bronx,Female,Latino/Hispanic,14,22,2,14.3,12,18.9
Bronx,Female,White,2,130.6,0,0,0,0
Bronx,Male,Black,26,115.7,7,26.9,13,57.9
Bronx,Male,Latino/Hispanic,34,64.3,7,20.6,26,49.1
Bronx,Male,White,1,60.9,0,0,2,121.8
Bronx,Female,Black,24,91.7,5,20.8,11,42
Bronx,Female,Latino/Hispanic,12,16.3,2,16.7,8,10.8
Bronx,Male,"Asian/Pacific
Islander",2,45.3,0,0,0,0
Bronx,Male,Black,27,120.7,6,22.2,17,76
Bronx,Male,Latino/Hispanic,37,57.4,7,18.9,23,35.7
Bronx,Male,White,2,23.4,0,0,1,11.7
Bronx,Female,Black,17,55,4,23.5,17,55
Bronx,Female,Latino/Hispanic,8,13.7,0,0,12,20.5
Bronx,Male,Black,32,123.2,10,31.3,25,96.3
Bronx,Male,Latino/Hispanic,35,70.5,6,17.1,21,42.3
Bronx,Male,Other/Unknown,1,122,1,100,1,122
Bronx,Male,White,1,47.8,0,0,1,47.8
Bronx,Female,Black,2,12.1,1,50,5,30.2
Bronx,Female,Latino/Hispanic,9,22.1,1,11.1,9,22.1
Bronx,Male,"Asian/Pacific
Islander",2,394.2,0,0,1,197.1
Bronx,Male,Black,22,154.2,4,18.2,19,133.1
Bronx,Male,Latino/Hispanic,32,88.4,3,9.4,11,30.4
Bronx,Male,White,1,80.9,0,0,0,0
Bronx,Female,Black,2,36.2,1,50,1,18.1
Bronx,Female,Latino/Hispanic,1,5.3,0,0,0,0
Bronx,Male,"Asian/Pacific
Islander",1,60.2,0,0,0,0
Bronx,Male,Black,2,50.2,0,0,0,0
Bronx,Male,Latino/Hispanic,5,33.6,0,0,2,13.5
Bronx,Male,White,3,20.5,0,0,0,0
Bronx,Female,Black,13,22.1,4,30.8,8,13.6
Bronx,Female,Latino/Hispanic,2,8.4,0,0,6,25.1
Bronx,Male,Black,26,58.4,9,34.6,13,29.2
Bronx,Male,Latino/Hispanic,6,30.7,1,16.7,10,51.2
Bronx,Male,White,1,12.3,0,0,2,24.6
Bronx,Female,Black,8,27,1,12.5,7,23.7
Bronx,Female,Latino/Hispanic,13,18.7,4,30.8,9,13
Bronx,Male,"Asian/Pacific
Islander",3,31.5,1,33.3,1,10.5
Bronx,Male,Black,23,96.5,4,17.4,16,67.1
Bronx,Male,Latino/Hispanic,23,38.6,3,13,11,18.5
Bronx,Male,Other/Unknown,2,128.8,0,0,0,0
Bronx,Male,White,2,9.2,0,0,0,0
Brooklyn,Female,"Asian/Pacific
Islander",5,3.6,1,20,1,0.7
Brooklyn,Female,Black,113,29.6,23,20.4,77,20.1
Brooklyn,Female,Latino/Hispanic,21,10.1,6,28.6,15,7.2
Brooklyn,Female,Other/Unknown,1,5.2,0,0,0,0
Brooklyn,Female,White,6,1.5,3,50,8,2
Brooklyn,Male,"Asian/Pacific
Islander",28,21.9,6,21.4,10,7.8
Brooklyn,Male,Black,235,81.7,35,14.9,133,46.2
Brooklyn,Male,Latino/Hispanic,85,43.9,14,16.5,58,30
Brooklyn,Male,Other/Unknown,6,38.5,1,16.7,1,6.4
Brooklyn,Male,White,66,17.4,13,19.7,29,7.6
Brooklyn,Female,Black,31,31.1,8,25.8,25,25.1
Brooklyn,Female,Latino/Hispanic,3,14.4,1,33.3,3,14.4
Brooklyn,Male,"Asian/Pacific
Islander",5,110.6,0,0,0,0
Brooklyn,Male,Black,97,129.7,22,22.7,58,77.5
Brooklyn,Male,Latino/Hispanic,22,131.8,3,13.6,8,47.9
Brooklyn,Male,Other/Unknown,4,201,1,25,1,50.2
Brooklyn,Male,White,8,28.7,1,12.5,1,3.6
Brooklyn,Female,"Asian/Pacific
Islander",1,3.8,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",4,16.5,2,50,4,16.5
Brooklyn,Male,Black,2,118.8,0,0,1,59.4
Brooklyn,Male,Latino/Hispanic,1,7.1,0,0,1,7.1
Brooklyn,Male,White,5,11.8,0,0,3,7.1
Brooklyn,Female,"Asian/Pacific
Islander",1,3.4,1,100,1,3.4
Brooklyn,Female,Latino/Hispanic,1,6.3,1,100,1,6.3
Brooklyn,Male,"Asian/Pacific
Islander",3,10.1,1,33.3,2,6.7
Brooklyn,Male,Black,3,57.7,1,33.3,1,19.2
Brooklyn,Male,Latino/Hispanic,3,17.1,1,33.3,4,22.8
Brooklyn,Male,White,8,11.8,2,25,3,4.4
Brooklyn,Female,Black,17,25.7,0,0,3,4.5
Brooklyn,Female,Latino/Hispanic,2,21.1,0,0,0,0
Brooklyn,Male,Black,15,31.1,0,0,11,22.8
Brooklyn,Male,Latino/Hispanic,3,41.7,0,0,1,13.9
Brooklyn,Female,"Asian/Pacific
Islander",1,4.3,0,0,0,0
Brooklyn,Female,Black,2,20.9,0,0,1,10.5
Brooklyn,Female,Latino/Hispanic,1,6.8,0,0,0,0
Brooklyn,Female,White,3,3.7,2,66.7,3,3.7
Brooklyn,Male,"Asian/Pacific
Islander",2,9,0,0,0,0
Brooklyn,Male,Black,5,80.3,0,0,1,16.1
Brooklyn,Male,Latino/Hispanic,2,14.6,1,50,3,21.8
Brooklyn,Male,White,12,17.3,6,50,9,12.9
Brooklyn,Female,Black,8,41.4,0,0,3,15.5
Brooklyn,Female,Latino/Hispanic,1,5.7,0,0,0,0
Brooklyn,Female,White,1,1.5,1,100,1,1.5
Brooklyn,Male,"Asian/Pacific
Islander",1,11.3,0,0,1,11.3
Brooklyn,Male,Black,9,65.8,0,0,4,29.3
Brooklyn,Male,Latino/Hispanic,5,32.3,0,0,3,19.4
Brooklyn,Male,White,8,13,1,12.5,3,4.9
Brooklyn,Female,Black,31,31.1,11,35.5,24,24.1
Brooklyn,Female,Other/Unknown,1,48.5,0,0,0,0
Brooklyn,Male,Black,45,60,7,15.6,24,32
Brooklyn,Male,Latino/Hispanic,6,51.4,1,16.7,5,42.9
Brooklyn,Male,Other/Unknown,1,68.8,0,0,0,0
Brooklyn,Male,White,4,20.2,1,25,1,5.1
Brooklyn,Female,"Asian/Pacific
Islander",1,25,0,0,0,0
Brooklyn,Female,Black,16,32.6,2,12.5,10,20.4
Brooklyn,Female,Latino/Hispanic,5,16.8,3,60,5,16.8
Brooklyn,Female,White,1,30.6,0,0,1,30.6
Brooklyn,Male,"Asian/Pacific
Islander",3,74.5,0,0,0,0
Brooklyn,Male,Black,29,77.9,3,10.3,18,48.3
Brooklyn,Male,Latino/Hispanic,13,49.7,3,23.1,11,42
Brooklyn,Male,Other/Unknown,1,156.9,0,0,0,0
Brooklyn,Female,White,1,2.6,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",2,64.4,0,0,0,0
Brooklyn,Male,Black,1,48.2,0,0,2,96.4
Brooklyn,Male,Latino/Hispanic,3,23.9,2,66.7,3,23.9
Brooklyn,Male,White,3,7.6,1,33.3,4,10.2
Brooklyn,Female,"Asian/Pacific
Islander",1,5.4,0,0,0,0
Brooklyn,Female,Black,1,80.4,0,0,1,80.4
Brooklyn,Female,Latino/Hispanic,2,10.1,0,0,2,10.1
Brooklyn,Male,"Asian/Pacific
Islander",6,33.9,3,50,3,17
Brooklyn,Male,Black,3,173.7,1,33.3,1,57.9
Brooklyn,Male,Latino/Hispanic,6,27.1,0,0,2,9
Brooklyn,Male,White,4,47.3,1,25,3,35.5
Brooklyn,Female,Black,7,25.7,2,28.6,8,29.4
Brooklyn,Female,Latino/Hispanic,6,15.4,1,16.7,4,10.3
Brooklyn,Male,"Asian/Pacific
Islander",2,38.7,0,0,0,0
Brooklyn,Male,Black,26,119.5,1,3.8,11,50.6
Brooklyn,Male,Latino/Hispanic,21,58.1,3,14.3,17,47
Brooklyn,Male,White,14,59.5,0,0,1,4.3
Manhattan,Female,Black,20,20.7,3,15,17,17.6
Manhattan,Female,Latino/Hispanic,21,11.1,7,33.3,14,7.4
Manhattan,Female,White,5,1.4,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",25,31.6,3,12,7,8.9
Manhattan,Male,Black,97,118.1,23,23.7,76,92.5
Manhattan,Male,Latino/Hispanic,134,79.8,11,8.2,63,37.5
Manhattan,Male,Other/Unknown,6,55,1,16.7,1,9.2
Manhattan,Male,White,115,34.1,13,11.3,57,16.9
Manhattan,Female,Black,7,16.4,1,14.3,10,23.5
Manhattan,Female,White,1,6.9,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",2,48.2,0,0,1,24.1
Manhattan,Male,Black,39,113.9,11,28.2,28,81.8
Manhattan,Male,Latino/Hispanic,21,119.7,3,14.3,5,28.5
Manhattan,Male,Other/Unknown,2,128.5,0,0,0,0
Manhattan,Male,White,9,63.6,1,11.1,5,35.3
Manhattan,Female,Black,1,27.8,0,0,0,0
Manhattan,Female,Latino/Hispanic,1,9,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",7,59.6,1,14.3,1,8.5
Manhattan,Male,Black,9,213.3,1,11.1,11,260.7
Manhattan,Male,Latino/Hispanic,26,222.5,2,7.7,13,111.2
Manhattan,Male,Other/Unknown,1,74.8,0,0,0,0
Manhattan,Male,White,36,74.2,3,8.3,12,24.7
Manhattan,Female,Black,4,24.5,0,0,1,6.1
Manhattan,Female,Latino/Hispanic,3,13.1,1,33.3,2,8.8
Manhattan,Male,"Asian/Pacific
Islander",2,57.1,1,50,2,57.1
Manhattan,Male,Black,17,130.7,3,17.6,17,130.7
Manhattan,Male,Latino/Hispanic,20,97.1,1,5,12,58.3
Manhattan,Male,Other/Unknown,1,192.4,1,100,1,192.4
Manhattan,Male,White,4,54.1,1,25,5,67.7
Manhattan,Female,Black,3,120,1,33.3,2,80
Manhattan,Female,White,2,4.4,0,0,0,0
Manhattan,Male,Black,3,102.7,1,33.3,2,68.4
Manhattan,Male,Latino/Hispanic,2,39.9,0,0,1,19.9
Manhattan,Male,White,6,15,0,0,4,10
Manhattan,Female,Latino/Hispanic,1,40.8,0,0,1,40.8
Manhattan,Female,White,1,3.9,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",3,50.6,0,0,0,0
Manhattan,Male,Black,4,330.4,1,25,2,165.2
Manhattan,Male,Latino/Hispanic,6,205.7,1,16.7,2,68.6
Manhattan,Male,Other/Unknown,1,138.6,0,0,0,0
Manhattan,Male,White,9,34.2,0,0,3,11.4
Manhattan,Female,Latino/Hispanic,1,34.3,1,100,1,34.3
Manhattan,Male,"Asian/Pacific
Islander",2,36.7,0,0,0,0
Manhattan,Male,Black,2,145.5,0,0,0,0
Manhattan,Male,Latino/Hispanic,1,39,0,0,1,39
Manhattan,Male,White,3,17.3,1,33.3,5,28.8
Manhattan,Female,Latino/Hispanic,7,38.2,2,28.6,3,16.4
Manhattan,Male,"Asian/Pacific
Islander",6,31.9,1,16.7,1,5.3
Manhattan,Male,Black,5,88.9,3,60,2,35.6
Manhattan,Male,Latino/Hispanic,7,46.4,1,14.3,6,39.8
Manhattan,Male,Other/Unknown,1,67.6,0,0,0,0
Manhattan,Male,White,9,23.4,3,33.3,4,10.4
Manhattan,Female,Black,1,39.3,0,0,0,0
Manhattan,Male,Black,3,137.6,0,0,1,45.9
Manhattan,Male,Latino/Hispanic,4,48.6,0,0,1,12.2
Manhattan,Male,White,6,9.7,1,16.7,3,4.8
Manhattan,Female,Black,2,28.3,1,50,2,28.3
Manhattan,Female,Latino/Hispanic,1,6,1,100,2,11.9
Manhattan,Male,"Asian/Pacific
Islander",2,25.3,0,0,2,25.3
Manhattan,Male,Black,1,18.9,0,0,1,18.9
Manhattan,Male,Latino/Hispanic,6,43,1,16.7,6,43
Manhattan,Male,White,15,25.6,2,13.3,7,11.9
Manhattan,Female,Black,2,14.4,0,0,1,7.2
Manhattan,Female,Latino/Hispanic,7,9.1,2,28.6,3,3.9
Manhattan,Male,"Asian/Pacific
Islander",1,26.2,0,0,0,0
Manhattan,Male,Black,13,107.7,3,23.1,10,82.9
Manhattan,Male,Latino/Hispanic,41,58.3,2,4.9,15,21.3
Manhattan,Male,White,17,68.8,1,5.9,7,28.3
Queens,Female,"Asian/Pacific
Islander",10,3.7,5,50,6,2.2
Queens,Female,Black,25,12.6,6,24,21,10.6
Queens,Female,Latino/Hispanic,24,9.1,7,29.2,13,4.9
Queens,Female,Other/Unknown,1,4.8,1,100,1,4.8
Queens,Female,White,1,0.4,0,0,3,1.1
Queens,Male,"Asian/Pacific
Islander",57,23.1,15,26.3,20,8.1
Queens,Male,Black,72,44.2,10,13.9,49,30.1
Queens,Male,Latino/Hispanic,166,62.6,24,14.5,74,27.9
Queens,Male,Other/Unknown,1,5.2,1,100,2,10.5
Queens,Male,White,42,16.3,7,16.7,18,7
Queens,Female,"Asian/Pacific
Islander",1,5.8,1,100,1,5.8
Queens,Male,White,3,19.7,1,33.3,2,13.1
Queens,Female,"Asian/Pacific
Islander",2,3.3,2,100,2,3.3
Queens,Male,"Asian/Pacific
Islander",9,16.9,2,22.2,2,3.7
Queens,Male,Black,2,107.5,0,0,0,0
Queens,Male,Latino/Hispanic,4,23.1,1,25,1,5.8
Queens,Male,Other/Unknown,1,66.1,1,100,1,66.1
Queens,Male,White,3,10.5,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",2,13.7,1,50,1,6.9
Queens,Male,Latino/Hispanic,4,61.7,0,0,1,15.4
Queens,Female,Black,8,10,2,25,8,10
Queens,Female,Latino/Hispanic,3,13.5,0,0,2,9
Queens,Male,"Asian/Pacific
Islander",3,10.5,0,0,0,0
Queens,Male,Black,24,38.4,5,20.8,20,32
Queens,Male,Latino/Hispanic,8,36,0,0,7,31.5
Queens,Male,White,3,31,0,0,0,0
Queens,Female,Black,1,17.7,0,0,0,0
Queens,Female,Latino/Hispanic,2,9.3,1,50,2,9.3
Queens,Female,White,1,2.1,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",5,32.2,2,40,3,19.3
Queens,Male,Black,4,88.3,0,0,0,0
Queens,Male,Latino/Hispanic,21,100.9,5,23.8,10,48.1
Queens,Male,White,20,41.6,1,5,4,8.3
Queens,Female,Black,2,71.2,0,0,0,0
Queens,Female,Latino/Hispanic,4,12.5,2,50,2,6.3
Queens,Male,"Asian/Pacific
Islander",5,28.2,1,20,1,5.6
Queens,Male,Black,5,203,0,0,2,81.2
Queens,Male,Latino/Hispanic,22,76.9,2,9.1,8,28
Queens,Male,White,2,3.5,1,50,6,10.6
Queens,Female,Black,3,13.1,1,33.3,3,13.1
Queens,Female,Latino/Hispanic,3,23.9,0,0,1,8
Queens,Male,Black,6,33.8,0,0,3,16.9
Queens,Male,Latino/Hispanic,4,34.9,2,50,4,34.9
Queens,Female,Black,6,10.6,3,50,5,8.8
Queens,Female,Latino/Hispanic,1,8.4,1,100,1,8.4
Queens,Female,Other/Unknown,1,39,1,100,1,39
Queens,Male,"Asian/Pacific
Islander",3,19.6,0,0,0,0
Queens,Male,Black,17,36.7,1,5.9,5,10.8
Queens,Male,Latino/Hispanic,3,28.4,0,0,2,18.9
Queens,Female,"Asian/Pacific
Islander",5,13.5,2,40,2,5.4
Queens,Female,Black,2,15.3,0,0,4,30.6
Queens,Female,Latino/Hispanic,5,12.3,1,20,2,4.9
Queens,Male,"Asian/Pacific
Islander",12,32.8,4,33.3,6,16.4
Queens,Male,Black,5,42.6,2,40,5,42.6
Queens,Male,Latino/Hispanic,13,33.5,4,30.8,9,23.2
Queens,Male,White,3,12.4,1,33.3,1,4.1
Queens,Female,"Asian/Pacific
Islander",2,3.9,0,0,0,0
Queens,Female,Black,2,20.5,0,0,1,10.3
Queens,Female,Latino/Hispanic,6,6.6,2,33.3,3,3.3
Queens,Male,"Asian/Pacific
Islander",18,37.4,5,27.8,7,14.5
Queens,Male,Black,9,75.9,2,22.2,14,118.1
Queens,Male,Latino/Hispanic,87,83,10,11.5,32,30.5
Queens,Male,White,8,25.3,3,37.5,4,12.6
"Staten
Island",Female,Black,13,64.3,3,23.1,6,29.7
"Staten
Island",Female,Latino/Hispanic,4,11.6,3,75,4,11.6
"Staten
Island",Female,White,4,3,0,0,0,0
"Staten
Island",Male,"Asian/Pacific
Islander",1,6,0,0,0,0
"Staten
Island",Male,Black,21,123.5,5,23.8,15,88.2
"Staten
Island",Male,Latino/Hispanic,17,51.7,2,11.8,6,18.2
"Staten
Island",Male,Other/Unknown,2,82.4,0,0,0,0
"Staten
Island",Male,White,16,13,3,18.8,5,4.1
"Staten
Island",Female,Black,3,38.4,0,0,1,12.8
"Staten
Island",Female,White,1,10.8,0,0,0,0
"Staten
Island",Male,Black,5,76.7,1,20,3,46
"Staten
Island",Male,Latino/Hispanic,4,42.3,2,50,3,31.7
"Staten
Island",Male,White,3,34.5,1,33.3,1,11.5
"Staten
Island",Female,Black,1,84.7,0,0,0,0
"Staten
Island",Female,Latino/Hispanic,2,21.8,1,50,1,10.9
"Staten
Island",Female,White,1,1.4,0,0,0,0
"Staten
Island",Male,Black,5,421.9,1,20,0,0
"Staten
Island",Male,Latino/Hispanic,8,93,0,0,2,23.3
"Staten
Island",Male,Other/Unknown,1,128.6,0,0,0,0
